date,close
2018-02-12,255.05
2018-02-13,258.3
2018-02-14,262.03
2018-02-15,264.58
2018-02-16,266.99
2018-02-19,266.85
2018-02-20,267.22
2018-02-21,279.2
2018-02-22,277.49
2018-02-26,279.97
2018-02-27,278.21
2018-02-28,272.4
2018-03-01,275.0
2018-03-02,273.0
2018-03-05,277.0
2018-03-06,274.03
2018-03-07,274.0
2018-03-09,274.6
2018-03-12,274.3
2018-03-13,273.95
2018-03-14,262.5
2018-03-15,254.51
2018-03-16,256.15
2018-03-19,255.0
2018-03-20,257.15
2018-03-21,268.88
2018-03-22,265.5
2018-03-23,262.0
2018-03-26,255.0
2018-03-27,258.0
2018-03-28,251.5
2018-03-29,252.9
2018-03-30,253.57
2018-04-02,249.99
2018-04-03,251.6
2018-04-04,255.69
2018-04-05,262.0
2018-04-06,256.76
2018-04-09,213.0
2018-04-10,214.8
2018-04-11,208.0
2018-04-12,212.21
2018-04-13,204.7
2018-04-16,192.06
2018-04-17,207.5
2018-04-18,215.87
2018-04-19,213.45
2018-04-20,215.36
2018-04-23,223.25
2018-04-24,223.0
2018-04-25,220.45
2018-04-26,220.7
2018-04-27,223.91
2018-04-28,224.8
2018-04-30,226.99
2018-05-02,229.02
2018-05-03,228.03
2018-05-04,228.55
2018-05-07,229.86
2018-05-08,226.7
2018-05-10,233.7
2018-05-11,235.72
2018-05-14,237.8
2018-05-15,231.39
2018-05-16,229.8
2018-05-17,226.05
2018-05-18,222.2
2018-05-21,226.21
2018-05-22,225.6
2018-05-23,221.0
2018-05-24,222.01
2018-05-25,220.0
2018-05-28,220.9
2018-05-29,219.0
2018-05-30,221.01
2018-05-31,222.36
2018-06-01,220.0
2018-06-04,220.0
2018-06-05,215.56
2018-06-06,217.9
2018-06-07,216.41
2018-06-08,210.95
2018-06-09,212.6
2018-06-11,210.35
2018-06-13,215.0
2018-06-14,214.0
2018-06-15,209.36
2018-06-18,206.3
2018-06-19,206.0
2018-06-20,212.2
2018-06-21,210.4
2018-06-22,214.43
2018-06-25,202.51
2018-06-26,199.91
2018-06-27,207.95
2018-06-28,208.5
2018-06-29,218.0
2018-07-02,221.01
2018-07-03,218.45
2018-07-04,217.7
2018-07-05,224.54
2018-07-06,226.71
2018-07-09,230.0
2018-07-10,230.3
2018-07-11,227.57
2018-07-12,226.6
2018-07-13,229.85
2018-07-16,227.99
2018-07-17,222.5
2018-07-18,216.28
2018-07-19,207.5
2018-07-20,204.34
2018-07-23,208.42
2018-07-24,215.45
2018-07-25,213.7
2018-07-26,210.0
2018-07-27,208.9
2018-07-30,211.33
2018-07-31,214.86
2018-08-01,210.6
2018-08-02,206.6
2018-08-03,202.21
2018-08-06,203.9
2018-08-07,201.79
2018-08-08,193.2
2018-08-09,195.9
2018-08-10,186.15
2018-08-13,190.0
2018-08-14,192.76
2018-08-15,187.98
2018-08-16,191.6
2018-08-17,189.55
2018-08-20,191.2
2018-08-21,191.8
2018-08-22,187.8
2018-08-23,178.71
2018-08-24,180.39
2018-08-27,183.27
2018-08-28,182.0
2018-08-29,183.5
2018-08-30,178.0
2018-08-31,182.0
2018-09-03,181.21
2018-09-04,179.5
2018-09-05,178.46
2018-09-06,175.0
2018-09-07,174.9
2018-09-10,171.21
2018-09-11,169.36
2018-09-12,173.9
2018-09-13,183.5
2018-09-14,188.71
2018-09-17,188.11
2018-09-18,191.65
2018-09-19,193.9
2018-09-20,191.16
2018-09-21,193.44
2018-09-24,198.75
2018-09-25,195.55
2018-09-26,195.79
2018-09-27,204.1
2018-09-28,203.32
2018-10-01,204.2
2018-10-02,199.5
2018-10-03,198.3
2018-10-04,189.35
2018-10-05,187.2
2018-10-08,191.85
2018-10-09,191.25
2018-10-10,189.89
2018-10-11,185.27
2018-10-12,191.85
2018-10-15,190.92
2018-10-16,196.05
2018-10-17,194.05
2018-10-18,191.0
2018-10-19,183.8
2018-10-22,180.7
2018-10-23,181.0
2018-10-24,188.01
2018-10-25,186.71
2018-10-26,181.0
2018-10-29,185.59
2018-10-30,184.78
2018-10-31,189.8
2018-11-01,188.67
2018-11-02,192.6
2018-11-06,197.8
2018-11-07,201.9
2018-11-08,202.89
2018-11-09,195.75
2018-11-12,196.82
2018-11-13,196.56
2018-11-14,199.2
2018-11-15,200.15
2018-11-16,199.26
2018-11-19,197.99
2018-11-20,194.21
2018-11-21,197.5
2018-11-22,199.4
2018-11-23,197.3
2018-11-26,188.5
2018-11-27,191.03
2018-11-28,190.2
2018-11-29,195.76
2018-11-30,194.0
2018-12-03,200.3
2018-12-04,199.0
2018-12-05,196.0
2018-12-06,192.19
2018-12-07,195.01
2018-12-10,191.8
2018-12-11,192.57
2018-12-12,190.45
2018-12-13,189.17
2018-12-14,184.93
2018-12-17,182.3
2018-12-18,186.6
2018-12-19,188.85
2018-12-20,189.3
2018-12-21,186.79
2018-12-24,184.3
2018-12-25,183.3
2018-12-26,183.4
2018-12-27,185.0
2018-12-28,186.5
2018-12-29,186.3
2019-01-03,186.99
2019-01-04,190.99
2019-01-08,191.24
2019-01-09,197.0
2019-01-10,196.75
2019-01-11,196.8
2019-01-14,196.8
2019-01-15,198.0
2019-01-16,201.26
2019-01-17,203.32
2019-01-18,208.44
2019-01-21,207.17
2019-01-22,207.95
2019-01-23,210.4
2019-01-24,212.2
2019-01-25,212.0
2019-01-28,209.7
2019-01-29,213.61
2019-01-30,213.14
2019-01-31,217.9
2019-02-01,216.29
2019-02-04,215.5
2019-02-05,217.85
2019-02-06,216.59
2019-02-07,211.01
2019-02-08,210.43
2019-02-11,214.0
2019-02-12,219.1
2019-02-13,213.9
2019-02-14,204.43
2019-02-15,208.0
2019-02-18,204.19
2019-02-19,202.08
2019-02-20,206.89
2019-02-21,203.41
2019-02-22,205.25
2019-02-25,205.86
2019-02-26,205.8
2019-02-27,205.4
2019-02-28,207.8
2019-03-01,206.54
2019-03-04,205.5
2019-03-05,202.92
2019-03-06,205.0
2019-03-07,203.95
2019-03-11,205.25
2019-03-12,205.1
2019-03-13,206.0
2019-03-14,203.66
2019-03-15,203.55
2019-03-18,205.9
2019-03-19,207.7
2019-03-20,209.8
2019-03-21,210.61
2019-03-22,207.7
2019-03-25,214.0
2019-03-26,218.0
2019-03-27,214.1
2019-03-28,215.07
2019-03-29,214.42
2019-04-01,217.7
2019-04-02,218.23
2019-04-03,219.05
2019-04-04,221.8
2019-04-05,227.5
2019-04-08,232.3
2019-04-09,238.0
2019-04-10,243.68
2019-04-11,238.86
2019-04-12,239.5
2019-04-15,237.8
2019-04-16,233.24
2019-04-17,234.3
2019-04-18,232.79
2019-04-19,232.6
2019-04-22,235.41
2019-04-23,235.67
2019-04-24,236.0
2019-04-25,227.8
2019-04-26,223.18
2019-04-29,228.8
2019-04-30,225.17
2019-05-02,229.1
2019-05-03,232.52
2019-05-06,232.8
2019-05-07,231.49
2019-05-08,230.0
2019-05-10,227.0
2019-05-13,224.22
2019-05-14,227.88
2019-05-15,228.69
2019-05-16,228.19
2019-05-17,226.94
2019-05-20,226.0
2019-05-21,232.71
2019-05-22,235.86
2019-05-23,229.3
2019-05-24,234.45
2019-05-27,236.0
2019-05-28,233.19
2019-05-29,233.4
2019-05-30,232.75
2019-05-31,233.24
2019-06-03,239.95
2019-06-04,236.0
2019-06-05,239.0
2019-06-06,244.89
2019-06-07,248.28
2019-06-10,249.0
2019-06-11,235.89
2019-06-13,240.49
2019-06-14,238.8
2019-06-17,237.8
2019-06-18,241.8
2019-06-19,240.4
2019-06-20,244.1
2019-06-21,238.02
2019-06-24,239.09
2019-06-25,236.7
2019-06-26,240.59
2019-06-27,240.5
2019-06-28,238.55
2019-07-01,242.98
2019-07-02,241.2
2019-07-03,241.51
2019-07-04,242.82
2019-07-05,242.83
2019-07-08,243.3
2019-07-09,242.74
2019-07-10,243.76
2019-07-11,241.3
2019-07-12,237.02
2019-07-15,235.27
2019-07-16,234.75
2019-07-17,234.63
2019-07-18,234.78
2019-07-19,232.85
2019-07-22,230.35
2019-07-23,232.48
2019-07-24,230.65
2019-07-25,232.9
2019-07-26,230.55
2019-07-29,232.8
2019-07-30,236.0
2019-07-31,233.49
2019-08-01,229.5
2019-08-02,220.81
2019-08-05,222.24
2019-08-06,226.01
2019-08-07,222.25
2019-08-08,223.93
2019-08-09,220.67
2019-08-12,222.3
2019-08-13,223.18
2019-08-14,217.11
2019-08-15,214.59
2019-08-16,215.05
2019-08-19,217.4
2019-08-20,216.0
2019-08-21,218.62
2019-08-22,219.5
2019-08-23,219.5
2019-08-26,218.5
2019-08-27,217.89
2019-08-28,218.3
2019-08-29,221.5
2019-08-30,224.2
2019-09-02,226.68
2019-09-03,224.0
2019-09-04,227.1
2019-09-05,230.79
2019-09-06,229.02
2019-09-09,229.0
2019-09-10,233.3
2019-09-11,234.72
2019-09-12,234.57
2019-09-13,233.0
2019-09-16,235.32
2019-09-17,235.89
2019-09-18,235.3
2019-09-19,234.98
2019-09-20,232.0
2019-09-23,229.7
2019-09-24,227.5
2019-09-25,228.09
2019-09-26,229.09
2019-09-27,228.05
2019-09-30,227.71
2019-10-01,226.49
2019-10-02,223.5
2019-10-03,224.08
2019-10-04,222.76
2019-10-07,227.55
2019-10-08,226.03
2019-10-09,227.7
2019-10-10,228.5
2019-10-11,230.31
2019-10-14,228.4
2019-10-15,229.4
2019-10-16,231.0
2019-10-17,233.5
2019-10-18,235.55
2019-10-21,234.94
2019-10-22,239.77
2019-10-23,239.57
2019-10-24,242.78
2019-10-25,240.0
2019-10-28,237.03
2019-10-29,240.11
2019-10-30,239.51
2019-10-31,234.89
2019-11-01,236.4
2019-11-05,238.53
2019-11-06,239.02
2019-11-07,242.5
2019-11-08,240.17
2019-11-11,241.5
2019-11-12,239.87
2019-11-13,237.21
2019-11-14,237.5
2019-11-15,240.0
2019-11-18,237.45
2019-11-19,239.25
2019-11-20,237.78
2019-11-21,237.15
2019-11-22,238.13
2019-11-25,237.98
2019-11-26,235.0
2019-11-27,234.22
2019-11-28,235.2
2019-11-29,233.98
2019-12-02,233.77
2019-12-03,230.66
2019-12-04,231.59
2019-12-05,231.71
2019-12-06,235.14
2019-12-09,237.04
2019-12-10,237.91
2019-12-11,240.32
2019-12-12,241.05
2019-12-13,241.21
2019-12-16,241.45
2019-12-17,241.6
2019-12-18,246.2
2019-12-19,244.0
2019-12-20,244.71
2019-12-23,248.8
2019-12-24,248.67
2019-12-25,248.04
2019-12-26,248.24
2019-12-27,252.06
2019-12-30,254.75
2020-01-03,255.0
2020-01-06,253.9
2020-01-08,259.15
2020-01-09,257.99
2020-01-10,258.19
2020-01-13,262.4
2020-01-14,259.05
2020-01-15,256.31
2020-01-16,257.51
2020-01-17,262.5
2020-01-20,266.28
2020-01-21,268.06
2020-01-22,266.54
2020-01-23,263.73
2020-01-24,265.49
2020-01-27,255.32
2020-01-28,257.7
2020-01-29,259.94
2020-01-30,257.31
2020-01-31,252.2
2020-02-03,253.99
2020-02-04,255.4
2020-02-05,255.2
2020-02-06,252.11
2020-02-07,254.3
2020-02-10,252.26
2020-02-11,254.5
2020-02-12,254.5
2020-02-13,253.89
2020-02-14,251.75
2020-02-17,251.36
2020-02-18,249.2
2020-02-19,249.7
2020-02-20,250.15
2020-02-21,250.8
2020-02-25,245.19
2020-02-26,250.8
2020-02-27,242.88
2020-02-28,233.36
2020-03-02,228.17
2020-03-03,236.63
2020-03-04,235.27
2020-03-05,232.33
2020-03-06,219.99
2020-03-10,201.2
2020-03-11,194.53
2020-03-12,175.91
2020-03-13,198.6
2020-03-16,195.85
2020-03-17,184.01
2020-03-18,174.27
2020-03-19,189.51
2020-03-20,195.69
2020-03-23,183.37
2020-03-24,192.64
2020-03-25,188.08
2020-03-26,188.07
2020-03-27,180.38
2020-03-30,183.0
2020-03-31,187.21
2020-04-01,184.78
2020-04-02,186.95
2020-04-03,185.64
2020-04-06,190.7
2020-04-07,197.63
2020-04-08,200.29
2020-04-09,203.61
2020-04-10,201.99
2020-04-13,198.26
2020-04-14,197.37
2020-04-15,186.07
2020-04-16,188.5
2020-04-17,191.8
2020-04-20,189.32
2020-04-21,186.05
2020-04-22,190.2
2020-04-23,190.94
2020-04-24,188.91
2020-04-27,188.9
2020-04-28,192.8
2020-04-29,195.8
2020-04-30,197.25
2020-05-04,193.69
2020-05-05,194.75
2020-05-06,195.7
2020-05-07,195.51
2020-05-08,196.02
2020-05-12,191.4
2020-05-13,187.31
2020-05-14,183.81
2020-05-15,183.85
2020-05-18,188.93
2020-05-19,189.0
2020-05-20,193.98
2020-05-21,192.4
2020-05-22,188.9
2020-05-25,191.0
2020-05-26,194.0
2020-05-27,198.51
2020-05-28,205.0
2020-05-29,200.5
2020-06-01,203.66
2020-06-02,212.0
2020-06-03,221.5
2020-06-04,213.1
2020-06-05,219.1
2020-06-08,220.3
2020-06-09,217.23
2020-06-10,212.53
2020-06-11,208.35
2020-06-15,207.32
2020-06-16,207.76
2020-06-17,208.14
2020-06-18,203.77
2020-06-19,207.0
2020-06-22,206.4
2020-06-23,207.3
2020-06-25,206.92
2020-06-26,203.15
2020-06-29,205.8
2020-06-30,203.22
2020-07-02,209.6
2020-07-03,210.95
2020-07-06,214.61
2020-07-07,210.53
2020-07-08,210.97
2020-07-09,209.11
2020-07-10,212.28
2020-07-13,208.39
2020-07-14,209.5
2020-07-15,211.09
2020-07-16,211.35
2020-07-17,210.81
2020-07-20,213.89
2020-07-21,215.73
2020-07-22,216.71
2020-07-23,215.41
2020-07-24,215.97
2020-07-27,216.9
2020-07-28,215.53
2020-07-29,219.18
2020-07-30,218.15
2020-07-31,221.57
2020-08-03,226.72
2020-08-04,227.16
2020-08-05,226.4
2020-08-06,226.0
2020-08-07,227.28
2020-08-10,225.99
2020-08-11,232.65
2020-08-12,242.4
2020-08-13,241.39
2020-08-14,239.99
2020-08-17,237.8
2020-08-18,236.3
2020-08-19,239.4
2020-08-20,232.48
2020-08-21,231.22
2020-08-24,231.81
2020-08-25,228.08
2020-08-26,227.8
2020-08-27,226.23
2020-08-28,226.3
2020-08-31,226.1
2020-09-01,227.64
2020-09-02,222.57
2020-09-03,218.32
2020-09-04,222.21
2020-09-07,221.32
2020-09-08,217.68
2020-09-09,218.0
2020-09-10,220.6
2020-09-11,221.07
2020-09-14,227.37
2020-09-15,231.5
2020-09-16,231.06
2020-09-17,231.46
2020-09-18,230.3
2020-09-21,226.25
2020-09-22,229.88
2020-09-23,228.5
2020-09-24,228.17
2020-09-25,228.24
2020-09-28,228.63
2020-09-29,225.48
2020-09-30,229.14
2020-10-01,227.23
2020-10-02,208.8
2020-10-05,208.89
2020-10-06,211.18
2020-10-07,210.6
2020-10-08,207.97
2020-10-09,205.38
2020-10-12,206.18
2020-10-13,205.03
2020-10-14,207.83
2020-10-15,203.85
2020-10-16,201.17
2020-10-19,202.78
2020-10-20,209.54
2020-10-21,210.33
2020-10-22,210.21
2020-10-23,214.5
2020-10-26,211.1
2020-10-27,207.64
2020-10-28,204.73
2020-10-29,205.58
2020-10-30,200.99
2020-11-02,204.5
2020-11-03,209.2
2020-11-05,216.7
2020-11-06,217.5
2020-11-09,228.05
2020-11-10,236.1
2020-11-11,244.2
2020-11-12,242.08
2020-11-13,242.99
2020-11-16,247.99
2020-11-17,245.7
2020-11-18,242.71
2020-11-19,240.27
2020-11-20,239.42
2020-11-23,239.7
2020-11-24,247.33
2020-11-25,251.91
2020-11-26,250.1
2020-11-27,251.59
2020-11-30,249.63
2020-12-01,260.81
2020-12-02,264.06
2020-12-03,263.14
2020-12-04,270.0
2020-12-07,274.36
2020-12-08,275.49
2020-12-09,276.89
2020-12-10,282.2
2020-12-11,283.73
2020-12-14,279.95
2020-12-15,278.7
2020-12-16,278.35
2020-12-17,278.5
2020-12-18,270.16
2020-12-21,261.79
2020-12-22,262.04
2020-12-23,270.1
2020-12-24,269.32
2020-12-25,270.64
